"Title","Author","Rating","Format","Price"
"Python Crash Course (2nd Edition)","Eric Matthes",4.5,"Paperback","26.77€"
"Python for Data Analysis, 2e","Wes Mckinney",4,"Paperback","34.52€"
"Python Pocket Reference","Mark Lutz",4,"Paperback","15.54€"
"Learning Python","Mark Lutz",4,"Paperback","62.50€"
"Python For Kids","Jason Briggs",4,"Paperback","23.68€"
"Fluent Python","Luciano Ramalho",4.5,"Paperback","45.78€"
"Automate The Boring Stuff With Python, 2nd Edition","Al Sweigart",4.5,"Paperback","32.02€"
"Learn Python 3 the Hard Way","Zed Shaw",4,"Paperback","28.34€"
"Introduction to Machine Learning with Python","Sarah Guido",4.5,"Paperback","43.87€"
"Python Data Science Handbook","Jake Vanderplas",4.5,"Paperback","51.64€"
"Deep Learning with Python","Francois Chollet",4.5,"Paperback","33.22€"
"Coding for Beginners: Using Python","Louie Stowell",4.5,"Spiral bound","18.71€"
"Learn Python the Hard Way","Zed Shaw",4,"Mixed media product","34.44€"
"Python Cookbook","David Beazley",4,"Paperback","35.09€"
"Black Hat Python","Justin Seitz",4,"Paperback","29.53€"
"Python Programming for the Absolute Beginner, Third Edition","Michael Dawson",4,"Paperback","30.32€"
"Think Python, 2e","Allen B Downey",4,"Paperback","31.15€"
"Programming Python","Mark Lutz",4,"Paperback","53.32€"
"Computer Coding Python Projects for Kids","Carol Vorderman",3.5,"Paperback","19.88€"
"Effective Python","Brett Slatkin",4.5,"Paperback","43.74€"
"Python for Everybody","Aimee Andrion",4.5,"Paperback","14.63€"
"Effective Python","Brett Slatkin",4.5,"Paperback","38.05€"
"Violent Python","TJ O'Connor",4,"Paperback","36.30€"
"Python For Dummies","Stef Maruch",3.5,"Paperback","20.32€"
"Computer Coding Python Games for Kids","Carol Vorderman",4,"Paperback","19.90€"
"The Python Years","Michael Palin",4,"Paperback","18.39€"
"Elements of Programming Interviews in Python","Tsung-hsien Lee",4.5,"Paperback","37.17€"
"Introduction to Computation and Programming Using Python","John V. Guttag",4,"Paperback","38.92€"
"Head First Python 2e","Paul Barry",4,"Paperback","35.59€"
"Python Machine Learning","Sebastian Raschka",4.5,"Paperback","37.75€"
"Natural Language Processing with Python","Steven Bird",4,"Paperback","43.49€"
"Python for Finance 2e","Yves Hilpisch",3.5,"Paperback","52.82€"
"Coding for Kids: Python","Adrienne B Tacke",4.5,"Paperback","17.22€"
"Dealing with Python","Anne Hamilton",4.5,"Paperback","16.01€"
"Gm-Monty Python Fluxx","Looney Labs",5,"Game","18.14€"
"Python Tricks","Dan Bader",4.5,"Paperback","32.02€"
"Beyond The Basic Stuff With Python","Al Sweigart",4.5,"Paperback","30.01€"
"Architecture Patterns with Python","Harry J.W. Percival",4.5,"Paperback","42.36€"
"Python Machine Learning -","Sebastian Raschka",4.5,"Paperback","43.02€"
"Python","Toby Donaldson",3.5,"Paperback","35.90€"
"Python","Christopher Cheng",4,"Paperback","9.43€"
"Learning Python with Raspberry Pi","Alex Bradbury",4,"Paperback","21.23€"
"The Greedy Python/Ready-To-Read Level 1","Dr Richard Buckley",4,"Paperback","4.74€"
"Python Machine Learning","Sebastian Raschka",4.5,"Paperback","40.31€"
"Python For Kids For Dummies","Brendan Scott",4,"Paperback","23.62€"
"The Pythons' Autobiography By The Pythons","Graham Chapman (Estate)",4,"Paperback","16.16€"
"Gray Hat Python","Justin Seitz",4,"Paperback","34.47€"
"Coding Projects in Python","DK",4,"Paperback","17.62€"
"Invent Your Own Computer Games With Python, 4e","Al Sweigart",4,"Paperback","24.26€"
"Python in Easy Steps","Mike McGrath",4,"Paperback","19.08€"
"Beginning Programming with Python For Dummies","John Paul Mueller",3.5,"Paperback","25.12€"
"Python Programming for Beginners","Adam Vardy",3.5,"Paperback","11.47€"
"Spirit Of Python, The","Jentezen Franklin",4.5,"Paperback","17.78€"
"Scratch and Python: the basics","Hywel Carver","","Paperback","14.11€"
"The Python Years","Michael Palin",4,"Paperback","25.00€"
"Willard Price: Python Adventure","Anthony McGowan",4,"Paperback","9.77€"
"The Greedy Python","Richard Buckley",4,"Board book","13.05€"
"Very Best of Monty Python","John Cleese",4,"Paperback","15.78€"
"Black Hat Python, 2nd Edition","Justin Seitz",3,"Paperback","32.45€"
"Python Strategy","Tigran Petrosian",4.5,"Paperback","29.28€"
"Introducing Python","Bill Lubanovic",4,"Paperback","38.94€"
"Python for Excel","Felix Zumstein",5,"Paperback","38.75€"
"Web Scraping with Python, 2e","Ryan Mitchell",4,"Paperback","32.57€"
"Coding Club Python Basics Level 1","Chris Roffey",2.5,"Paperback","15.10€"
"Python Programming","John Zelle",4,"Paperback","45.49€"
"Machine Learning with Python Cookbook","Chris Albon",4.5,"Paperback","38.46€"
"Python for Algorithmic Trading","Yves Hilpisch",3.5,"Paperback","50.75€"
"Learn Python in One Day and Learn It Well","Jamie Chan",4,"Paperback","15.37€"
"Cracking Codes With Python","Albert Sweigart",4.5,"Paperback","24.27€"
"Monty Python at Work","Michael Palin",4,"Paperback","18.35€"
"Serious Python","Julien Danjou",4,"Paperback","30.15€"
"Programming the Raspberry Pi, Second Edition: Getting Started with Python","Simon Monk",4,"Paperback","15.56€"
"Data Science from Scratch","Joel Grus",4,"Paperback","43.71€"
"Beginning Python","Magnus Lie Hetland",4,"Paperback","43.57€"
"Python for DevOps","Noah Gift",3.5,"Paperback","44.09€"
"Python Basics","Dan Bader",4,"Paperback","37.88€"
"Doing Math With Python","Amit Saha",4,"Paperback","26.92€"
"Practical Statistics for Data Scientists","Peter Bruce",4,"Paperback","37.85€"
"Python Playground","Mahesh Venkitachalam",4,"Paperback","26.42€"
"Cambridge IGCSE (R) and O Level Computer Science Programming Book for Python","Chris Roffey",4,"Paperback","21.30€"
"Learn More Python 3 the Hard Way","Zed Shaw",4,"Paperback","35.63€"
"The Python Bible 7 in 1","Florian Dedov",5,"Paperback","38.92€"
"Monty Python and the Holy Grail: Screenplay","Graham Chapman",4.5,"Paperback","10.68€"
"Impractical Python Projects","Lee Vaughan",4,"Paperback","28.51€"
"Python for Informatics","Charles R Severance",4,"Paperback","14.77€"
"Data Visualization with Python and JavaScript","Kyran Dalescript",4,"Paperback","42.95€"
"Python in easy steps","Mike McGrath",4,"Paperback","15.35€"
"The Hitchhiker's Guide to Python","Kenneth Reitz",4,"Paperback","20.55€"
"Fluent Python","Luciano Ramalho",4.5,"Paperback","56.83€"
"Learning to Program in Python 2017","Pm Heathcote","","Paperback","22.53€"
"Python Flash Cards","Eric Matthes",4,"Cards","30.26€"
"Problem Solving with Algorithms and Data Structures Using Python","Bradley N. Miller",4,"Paperback","43.63€"
"Coding Club Python: Next Steps Level 2","Chris Roffey",4,"Paperback","17.95€"
"Creative Coding in Python","Sheena Vaidyanathan",4.5,"Paperback","17.27€"
"Python for complete beginners","Martin Jones",4,"Paperback","26.85€"
"High Performance Python","Micha Gorelick",4,"Paperback","34.80€"
"Python Programming for Raspberry Pi, Sams Teach Yourself in 24 Hours","Richard Blum",4,"Paperback","29.33€"
"Programming Computer Vision with Python","Jan Erik Solem",4,"Paperback","43.51€"
"Machine Learning with Python for Everyone","Mark Fenner",5,"Paperback","38.05€"
"Coding Games in Python","Dk",4,"Paperback","19.94€"
"Introduction to Computation and Programming Using Python, third edition","John V. Guttag",4,"Paperback","50.99€"
"Monty Python Flying Circus - Just the Words: v. 1","Monty Python",4.5,"Paperback","24.94€"
"Algorithmic Trading with Python","Chris Conlan",4,"Paperback","30.96€"
"More Python Programming for the Absolute Beginner","Jonathan Harbour",3.5,"Paperback","36.40€"
"Applied Text Analysis with Python","Benjamin Bengfort",4,"Paperback","44.95€"
"Python for Data Science For Dummies","John Paul Mueller",3.5,"Paperback","23.31€"
"Python Coding on the BBC Micro:Bit","Jim Gatenby",4.5,"Paperback","14.90€"
"Test-Driven Development with Python 2e","Harry J.w Percival",4,"Paperback","54.23€"
"Python Testing with Pytest","Brian Okken",4,"Paperback","34.54€"
"Coding Club Python: Building Big Apps Level 3","Chris Roffey",4,"Paperback","18.66€"
"Adventures in Python","Craig Richardson",3,"Paperback","19.07€"
"Python 3 Object-Oriented Programming","Dusty Phillips",4,"Paperback","37.77€"
"Python Scripting for ArcGIS Pro","Paul A. Zandbergen",5,"Paperback","56.19€"
"Data Engineering with Python","Paul Crickard","","Paperback","38.92€"
"Dive Into Python 3","Mark Pilgrim",4,"Paperback","40.55€"
"Making Games with Python & Pygame","Al Sweigart",4,"Paperback","35.13€"
"Alligator vs. Python (Who Would Win?), 12","Jerry Pallotta",4.5,"Paperback","5.72€"
"Mastering Python Networking","Eric Chou",4.5,"Paperback","47.11€"
"Python by Example","Nichola Lacey",4.5,"Paperback","23.01€"
"Maya Python for Games and Film","Adam Mechtley",4.5,"Hardback","60.44€"
"Numerical Python","Robert Johansson",4,"Paperback","34.91€"
"The Greedy Python","Dr Richard Buckley",4,"Paperback","10.74€"
"Monty Python and Philosophy","Gary L. Hardcastle",4,"Paperback","27.03€"
"Artificial Intelligence with Python","Prateek Joshi",3.5,"Paperback","49.26€"
"Derivatives Analytics with Python","Yves Hilpisch",4,"Hardback","73.96€"
"A Smarter Way to Learn Python","Mark Myers",4.5,"Paperback","23.36€"
"Monty Python's Life of Brian, The (of Nazareth): Screenplay","Graham Chapman",4.5,"Paperback","10.75€"
"Python in a Nutshell","Alex Martelli",3.5,"Paperback","55.48€"
"Intro to Python for Computer Science and Data Science","Paul Deitel",4,"Paperback","73.83€"
"Learn Python in One Day and Learn It Well (2nd Edition)","Jamie Chan",4,"Paperback","16.22€"
"Python for Programmers","Paul Deitel",3.5,"Paperback","42.80€"
"Python Machine Learning By Example","Yuxi (Hayden) Liu",4,"Paperback","36.33€"
"Classic Computer Science Problems in Python","David Kopec",4,"Paperback","29.57€"
"Python Distilled","David Beazley",4,"Paperback","43.66€"
"Math Adventures With Python","Peter Farrell",4,"Paperback","27.58€"
"Murach's Python Programming","Joel Murach",4,"Paperback","44.92€"
"Bioinformatics Programming Using Python","Mitchell L Model",3,"Paperback","46.83€"
"Python for Software Design","Allen B. Downey",4,"Paperback","46.64€"
"Data Wrangling with Python","Jacqueline Kazil",3.5,"Paperback","39.73€"
"Python for Biologists","Martin Jones",4,"Paperback","39.05€"
"Python All-in-One For Dummies","John C. Shovic",5,"Paperback","30.23€"
"The Big Book Of Small Python Projects","Al Sweigart",5,"Paperback","30.72€"
"Python Programming for Beginners","Joseph Joyner",2,"Paperback","6.31€"
"Python 3 Standard Library by Example, The","Doug Hellmann",4,"Paperback","49.69€"
"Python for Finance Cookbook","Eryk Lewinson",5,"Paperback","40.64€"
"Clean Code in Python","Mariano Anaya",4,"Paperback","38.92€"
"Mission Python","Sean McManus",4,"Paperback","27.49€"
"Monty Python's Flying Circus: Hidden Treasures","Adrian Besley",4.5,"Mixed media product","74.20€"
"Beginning Game Development with Python and Pygame","Will McGugan",3.5,"Paperback","45.38€"
"Monty Python's Big Red Book","Monty Python",4,"Paperback","45.57€"
"Programacion Con Python","Alexander Cane","","Paperback","23.39€"
"Interpretable Machine Learning with Python","Serg Masís","","Paperback","44.38€"
"Monty Python's Flying Circus: Complete And Annotated...All The Bits","Graham Chapman",4.5,"Hardback","41.44€"
"Learning Scientific Programming with Python","Christian Hill",4.5,"Paperback","44.95€"
"How to code in Python: GCSE, iGCSE, National 4/5 and Higher","Greg Reid","","Paperback","21.47€"
"Python 3 for Absolute Beginners","Tim Hall",3.5,"Paperback","48.46€"
"Python Programming","Mark Reed","","Paperback","18.63€"
"Data Structure and Algorithmic Thinking with Python","Narasimha Karumanchi",4,"Paperback","33.76€"
"Python for Everyone","Cay S. Horstmann",4,"Paperback","71.43€"
"The Quick Python Book, 3E","Naomi Ceder",4,"Paperback","34.60€"
"Python 3 Object-oriented Programming -","Dusty Phillips",4,"Paperback","49.26€"
"Machine Learning for Algorithmic Trading","Stefan Jansen",4,"Paperback","44.95€"
"Python Algorithms","Magnus Lie Hetland",4,"Paperback","45.20€"
"Hands-On Unsupervised Learning Using Python","Ankur A. Patel",3.5,"Paperback","43.19€"
"Coding Club Python: Programming Art Supplement 1","Chris Roffey",3.5,"Spiral bound","17.65€"
"Python Coding For Kids (Beginner Level)","Tommy Harry Johnson","","Paperback","12.06€"
"Python in 24 Hours, Sams Teach Yourself","Katie Cunningham",4,"Paperback","27.71€"
"Advanced Python Scripting for ArcGIS Pro","Paul A. Zandbergen",4,"Paperback","41.80€"
"Dive Into Python","Mark Pilgrim",4,"Paperback","36.15€"
"Real-world Python","Lee Vaughan",5,"Paperback","26.41€"
"Python for Kids","Christian Morrison",4.5,"Paperback","17.69€"
"New Technical Indicators in Python","Sofien Kaabar",5,"Paperback","20.89€"
"Python","Maurice J Thompson",4,"Paperback","30.28€"
"Python","John Russel",3,"Paperback","25.04€"
"Python Workbook","Jamie Chan",4,"Paperback","13.35€"
"Beginning Python","Magnus Lie Hetland",4,"Paperback","40.29€"
"Learn Python Programming","Fabrizio Romano",4.5,"Paperback","36.33€"
"Python Machine Learning","Wei-Meng Lee",3,"Paperback","29.94€"
"Intuitive Python","David Muller",4.5,"Paperback","22.03€"
"Python Object-Oriented Programming","Steven F. Lott","","Paperback","36.57€"
"Conceptual Programming with Python","Thorsten Altenkirch",4,"Paperback","21.75€"
"Illustrated Guide to Python 3","Matt Harrison",4,"Paperback","40.62€"
"Python 3 Object Oriented Programming","Dusty Phillips",4,"Paperback","48.95€"
"Python Programming Books Set","James P Long",4,"Paperback","21.68€"
"Real World Instrumentation with Python","John M. Hughes",3.5,"Paperback","43.55€"
"Python Feature Engineering Cookbook","Soledad Galli",4.5,"Paperback","40.64€"
"Practical Python Programming for IoT","Gary Smart",4,"Paperback","38.92€"
"Using Python for Introductory Econometrics","Daniel Brunner","","Paperback","28.34€"
"Cambridge IGCSE (TM) and O Level Computer Science Programming Book for Python with Digital Access (2 Years)","Chris Roffey","","Paperback","25.29€"
"Deep Learning with Python, Second Edition","Francois Chollet",4.5,"Paperback","49.67€"
"Beginning Python Visualization","Shai Vaingast",3,"Paperback","41.48€"
"Python Data Cleaning Cookbook","Michael Walker",4.5,"Paperback","39.13€"
"Data Science Projects with Python","Stephen Klosterman",4,"Paperback","34.82€"
"The Python Years","Michael Palin",4,"Hardback","47.12€"
"Introduction to Programming in Python","Robert Sedgewick",4,"Hardback","66.51€"
"Python GUI Programming with Tkinter","Alan D. Moore",3,"Paperback","44.95€"
"Complex Network Analysis in Python","Dmitry Zinoviev",4,"Paperback","30.11€"
"Supercharged Python","Brian Overland",4.5,"Paperback","35.55€"
"Pandas for Everyone","Daniel Chen",4,"Paperback","37.62€"
"Bite-Size Python","April Speight",3.5,"Paperback","16.32€"
"Bayes' Rule With Python","Dr James V Stone",3.5,"Paperback","21.98€"
